Feature,Gain,Cover,Frequency
curb_weight,0.61036866217536,0.357147938390328,0.355329949238579
engine_size,0.200789643793572,0.330678409851967,0.347715736040609
num_of_cylindersfour,0.0517877213646078,0.0747613438453068,0.0634517766497462
drive_wheelsrwd,0.0401131283693424,0.064203072105461,0.0558375634517767
width,0.02898094598638,0.0465501280490698,0.0482233502538071
fuel_systemmpfi,0.0183664551399114,0.0447153095507522,0.0456852791878173
wheel_base,0.0178152947474797,0.0316714649185033,0.032994923857868
fuel_system2bbl,0.0157192337825875,0.0268933059776502,0.0228426395939086
length,0.0117497956509684,0.017644229709553,0.0203045685279188
drive_wheelsfwd,0.00263850187946414,0.00299655914282406,0.00253807106598985
symboling,0.000907969608066743,0.00170639326214306,0.00253807106598985
normalized_losses,0.000762647502259356,0.00103184519644189,0.00253807106598985
